Year,Ceremony,Award,Winner,Name,Film,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Victor Young,For Whom the Bell Tolls ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Hanns Eisler,Hangmen Also Die ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Phil Boutelje,Hi Diddle Diddle ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Walter Scharf,In Old Oklahoma ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Leigh Harline,Johnny Come Lately ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Gerard Carbonara,The Kansan ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Arthur Lange,Lady of Burlesque ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Herbert Stothart,Madame Curie ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Dimitri Tiomkin,The Moon and Sixpence ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,Aaron Copland,The North Star ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),1,Alfred Newman,The Song of Bernadette ,,,
1943,16,Music (Music Score of a Dramatic or Comedy Picture),,"Edward H. Plumb, Paul J. Smith, Oliver G. Wallace",Victory through Air Power ,,,
1943,16,Music (Scoring of a Musical Picture),,Alfred Newman,Coney Island ,,,
1943,16,Music (Scoring of a Musical Picture),,Walter Scharf,Hit Parade of 1943 ,,,
1943,16,Music (Scoring of a Musical Picture),,Edward Ward,Phantom of the Opera ,,,
1943,16,Music (Scoring of a Musical Picture),,"Charles Wolcott, Edward H. Plumb, Paul J. Smith",Saludos Amigos ,,,
1943,16,Music (Scoring of a Musical Picture),,Leigh Harline,The Sky's the Limit ,,,
1943,16,Music (Scoring of a Musical Picture),,Morris Stoloff,Something to Shout About ,,,
1943,16,Music (Scoring of a Musical Picture),,Frederic E. Rich,Stage Door Canteen ,,,
1943,16,Music (Scoring of a Musical Picture),,Robert Emmett Dolan,Star Spangled Rhythm ,,,
1943,16,Music (Scoring of a Musical Picture),1,Ray Heindorf,This Is the Army ,,,
1943,16,Music (Scoring of a Musical Picture),,Herbert Stothart,Thousands Cheer ,,,
1943,16,Music (Song),,Music by Jule Styne,"""A Change Of Heart"" from Hit Parade of 1943", Lyrics by Harold Adamson,,
1943,16,Music (Song),,Music by Harold Arlen,"""Happiness Is A Thing Called Joe"" from Cabin in the Sky", Lyrics by E. Y. Harburg,,
1943,16,Music (Song),,Music by Harold Arlen,"""My Shining Hour"" from The Sky's the Limit", Lyrics by Johnny Mercer,,
1943,16,Music (Song),,Music by Charles Wolcott,"""Saludos Amigos"" from Saludos Amigos", Lyrics by Ned Washington,,
1943,16,Music (Song),,Music by Jimmy McHugh,"""Say A Pray'r For The Boys Over There"" from Hers to Hold", Lyrics by Herb Magidson,,
1943,16,Music (Song),,Music by Harold Arlen,"""That Old Black Magic"" from Star Spangled Rhythm", Lyrics by Johnny Mercer,,
1943,16,Music (Song),,Music by Arthur Schwartz,"""They're Either Too Young Or Too Old"" from Thank Your Lucky Stars", Lyrics by Frank Loesser,,
1943,16,Music (Song),,Music by James Monaco,"""We Mustn't Say Goodbye"" from Stage Door Canteen", Lyrics by Al Dubin,,
1943,16,Music (Song),,Music and Lyrics by Cole Porter,"""You'd Be So Nice To Come Home To"" from Something to Shout About",,,
1943,16,Music (Song),1,Music by Harry Warren,"""You'll Never Know"" from Hello, Frisco, Hello", Lyrics by Mack Gordon,,
1943,16,Outstanding Motion Picture,1,Warner Brothers,Casablanca ,,,
1943,16,Outstanding Motion Picture,,Paramount,For Whom the Bell Tolls ,,,
1943,16,Outstanding Motion Picture,,20th Century-Fox,Heaven Can Wait ,,,
1943,16,Outstanding Motion Picture,,Metro-Goldwyn-Mayer,The Human Comedy ,,,
1943,16,Outstanding Motion Picture,,Two Cities,In Which We Serve ,,,
1943,16,Outstanding Motion Picture,,Metro-Goldwyn-Mayer,Madame Curie ,,,
1943,16,Outstanding Motion Picture,,Columbia,The More the Merrier ,,,
1943,16,Outstanding Motion Picture,,20th Century-Fox,The Ox-Bow Incident ,,,
1943,16,Outstanding Motion Picture,,20th Century-Fox,The Song of Bernadette ,,,
1943,16,Outstanding Motion Picture,,Warner Brothers,Watch on the Rhine ,,,
1943,16,Short Subject (Cartoon),,"Walter Lantz, Producer",The Dizzy Acrobat ,,,
1943,16,Short Subject (Cartoon),,"George Pal, Producer",The 500 Hats of Bartholomew Cubbins ,,,
1943,16,Short Subject (Cartoon),,"Leon Schlesinger, Producer",Greetings Bait! ,,,
1943,16,Short Subject (Cartoon),,"Dave Fleischer, Producer",Imagination ,,,
1943,16,Short Subject (Cartoon),,"Walt Disney, Producer",Reason and Emotion ,,,
1943,16,Short Subject (Cartoon),1,"Frederick Quimby, Producer",Yankee Doodle Mouse ,,,
1943,16,Short Subject (One Reel),1,"Grantland Rice, Producer",Amphibious Fighters ,,,
1943,16,Short Subject (One Reel),,"Gordon Hollingshead, Producer",Cavalcade of Dance with Veloz and Yolanda ,,,
1943,16,Short Subject (One Reel),,"Edmund Reek, Producer",Champions Carry On ,,,
1943,16,Short Subject (One Reel),,"Ralph Staub, Producer",Hollywood in Uniform ,,,
1943,16,Short Subject (One Reel),,"Pete Smith, Producer",Seeing Hands ,,,
1943,16,Short Subject (Two Reel),1,"Jerry Bresler and Sam Coslow, Producers",Heavenly Music ,,,
1943,16,Short Subject (Two Reel),,"Frederic Ullman, Jr., Producer",Letter to a Hero ,,,
1943,16,Short Subject (Two Reel),,"Walter MacEwen, Producer",Mardi Gras ,,,
1943,16,Short Subject (Two Reel),,"Gordon Hollingshead, Producer",Women at War ,,,
1943,16,Sound Recording,,"Sound Service, Inc., Jack Whitney, Sound Director",Hangmen Also Die ,,,
1943,16,Sound Recording,,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",In Old Oklahoma ,,,
1943,16,Sound Recording,,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Madame Curie ,,,
1943,16,Sound Recording,,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",The North Star ,,,
1943,16,Sound Recording,,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",Phantom of the Opera ,,,
1943,16,Sound Recording,,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",Riding High ,,,
1943,16,Sound Recording,,"Columbia Studio Sound Department, John Livadary, Sound Director",Sahara ,,,
1943,16,Sound Recording,,"Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director",Saludos Amigos ,,,
1943,16,Sound Recording,,"RCA Sound, J. L. Fields, Sound Director",So This Is Washington ,,,
1943,16,Sound Recording,,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",The Song of Bernadette ,,,
1943,16,Sound Recording,,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",This Is the Army ,,,
1943,16,Sound Recording,1,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine ,,,
1943,16,Special Effects,,"Photographic Effects by Hans Koenekamp, Rex Wimpy; Sound Effects by Nathan Levinson",Air Force ,,,
1943,16,Special Effects,,"Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville",Bombardier ,,,
1943,16,Special Effects,1,Photographic Effects by Fred Sersen,Crash Dive , Sound Effects by Roger Heman,,
1943,16,Special Effects,,"Photographic Effects by Clarence Slifer, R. O. Binger; Sound Effects by Thomas T. Moulton",The North Star ,,,
1943,16,Special Effects,,"Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton",So Proudly We Hail! ,,,
1943,16,Special Effects,,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus; Sound Effects by Michael Steinore",Stand By for Action ,,,
1943,16,Writing (Original Motion Picture Story),,Guy Gilpatric,Action in the North Atlantic ,,,
1943,16,Writing (Original Motion Picture Story),,Steve Fisher,Destination Tokyo ,,,
1943,16,Writing (Original Motion Picture Story),1,William Saroyan,The Human Comedy ,,,
1943,16,Writing (Original Motion Picture Story),,"Robert Russell, Frank Ross",The More the Merrier ,,,
1943,16,Writing (Original Motion Picture Story),,Gordon McDonell,Shadow of a Doubt ,,,
1943,16,Writing (Original Screenplay),,Dudley Nichols,Air Force ,,,
1943,16,Writing (Original Screenplay),,Noel Coward,In Which We Serve ,,,
1943,16,Writing (Original Screenplay),,Lillian Hellman,The North Star ,,,
1943,16,Writing (Original Screenplay),1,Norman Krasna,Princess O'Rourke ,,,
1943,16,Writing (Original Screenplay),,Allan Scott,So Proudly We Hail! ,,,
1943,16,Writing (Screenplay),1,"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca ,,,
1943,16,Writing (Screenplay),,Nunnally Johnson,Holy Matrimony ,,,
1943,16,Writing (Screenplay),,"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster",The More the Merrier ,,,
1943,16,Writing (Screenplay),,George Seaton,The Song of Bernadette ,,,
1943,16,Writing (Screenplay),,Dashiell Hammett,Watch on the Rhine ,,,
1943,16,Special Award,1,George Pal,,,,
1943,16,Irving G. Thalberg Memorial Award,1,Hal B. Wallis,,,,
1944,17,Actor,,Charles Boyer,Gaslight,,,
1944,17,Actor,1,Bing Crosby,Going My Way,,,
1944,17,Actor,,Barry Fitzgerald,Going My Way,,,
1944,17,Actor,,Cary Grant,None but the Lonely Heart,,,
1944,17,Actor,,Alexander Knox,Wilson,,,
1944,17,Actor in a Supporting Role,,Hume Cronyn,The Seventh Cross,,,
1944,17,Actor in a Supporting Role,1,Barry Fitzgerald,Going My Way,,,
1944,17,Actor in a Supporting Role,,Claude Rains,Mr. Skeffington,,,
1944,17,Actor in a Supporting Role,,Clifton Webb,Laura,,,
1944,17,Actor in a Supporting Role,,Monty Woolley,Since You Went Away,,,
1944,17,Actress,1,Ingrid Bergman,Gaslight,,,
1944,17,Actress,,Claudette Colbert,Since You Went Away,,,
1944,17,Actress,,Bette Davis,Mr. Skeffington,,,
1944,17,Actress,,Greer Garson,Mrs. Parkington,,,
1944,17,Actress,,Barbara Stanwyck,Double Indemnity,,,
1944,17,Actress in a Supporting Role,1,Ethel Barrymore,None but the Lonely Heart,,,
1944,17,Actress in a Supporting Role,,Jennifer Jones,Since You Went Away,,,
1944,17,Actress in a Supporting Role,,Angela Lansbury,Gaslight,,,
1944,17,Actress in a Supporting Role,,Aline MacMahon,Dragon Seed,,,
1944,17,Actress in a Supporting Role,,Agnes Moorehead,Mrs. Parkington,,,
1944,17,Art Direction (Black and White),,"Art Direction: Lionel Banks, Walter Holscher; Interior Decoration: Joseph Kish",Address Unknown ,,,
1944,17,Art Direction (Black and White),,Art Direction: John J. Hughes,The Adventures of Mark Twain , Interior Decoration: Fred MacLean,,
1944,17,Art Direction (Black and White),,Art Direction: Perry Ferguson,Casanova Brown , Interior Decoration: Julia Heron,,
1944,17,Art Direction (Black and White),1,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky",Gaslight ,,,
1944,17,Art Direction (Black and White),,"Art Direction: Lyle Wheeler, Leland Fuller; Interior Decoration: Thomas Little",Laura ,,,
1944,17,Art Direction (Black and White),,"Art Direction: Hans Dreier, Robert Usher; Interior Decoration: Sam Comer",No Time for Love ,,,
1944,17,Art Direction (Black and White),,Art Direction: Mark-Lee Kirk,Since You Went Away , Interior Decoration: Victor A. Gangelin,,
1944,17,Art Direction (Black and White),,,Song of the Open Road,,,
1944,17,Art Direction (Black and White),,"Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Claude Carpenter",Step Lively ,,,
1944,17,Art Direction (Color),,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb",The Climax ,,,
1944,17,Art Direction (Color),,"Art Direction: Lionel Banks, Cary Odell; Interior Decoration: Fay Babcock",Cover Girl ,,,
1944,17,Art Direction (Color),,Art Direction: Charles Novi,The Desert Song , Interior Decoration: Jack McConaghy,,
1944,17,Art Direction (Color),,"Art Direction: Cedric Gibbons, Daniel B. Cathcart; Interior Decoration: Edwin B. Willis, Richard Pefferle",Kismet ,,,
1944,17,Art Direction (Color),,"Art Direction: Hans Dreier, Raoul Pene du Bois; Interior Decoration: Ray Moyer",Lady in the Dark ,,,
1944,17,Art Direction (Color),,Art Direction: Ernst Fegte,The Princess and the Pirate , Interior Decoration: Howard Bristol,,
1944,17,Art Direction (Color),1,Art Direction: Wiard Ihnen,Wilson , Interior Decoration: Thomas Little,,
1944,17,Cinematography (Black and White),,John Seitz,Double Indemnity ,,,
1944,17,Cinematography (Black and White),,Sidney Wagner,Dragon Seed ,,,
1944,17,Cinematography (Black and White),,Joseph Ruttenberg,Gaslight ,,,
1944,17,Cinematography (Black and White),,Lionel Lindon,Going My Way ,,,
1944,17,Cinematography (Black and White),1,Joseph LaShelle,Laura ,,,
1944,17,Cinematography (Black and White),,Glen MacWilliams,Lifeboat ,,,
1944,17,Cinematography (Black and White),,"Stanley Cortez, Lee Garmes",Since You Went Away ,,,
1944,17,Cinematography (Black and White),,"Robert Surtees, Harold Rosson",Thirty Seconds over Tokyo ,,,
1944,17,Cinematography (Black and White),,Charles Lang,The Uninvited ,,,
1944,17,Cinematography (Black and White),,George Folsey,The White Cliffs of Dover ,,,
1944,17,Cinematography (Color),,"Rudolph Maté, Allen M. Davey",Cover Girl ,,,
1944,17,Cinematography (Color),,Edward Cronjager,Home in Indiana ,,,
1944,17,Cinematography (Color),,Charles Rosher,Kismet ,,,
1944,17,Cinematography (Color),,Ray Rennahan,Lady in the Dark ,,,
1944,17,Cinematography (Color),,George Folsey,Meet Me in St. Louis ,,,
1944,17,Cinematography (Color),1,Leon Shamroy,Wilson ,,,
1944,17,Directing,,Billy Wilder,Double Indemnity ,,,
1944,17,Directing,1,Leo McCarey,Going My Way ,,,
1944,17,Directing,,Otto Preminger,Laura ,,,
1944,17,Directing,,Alfred Hitchcock,Lifeboat ,,,
1944,17,Directing,,Henry King,Wilson ,,,
1944,17,Documentary (Feature),1,United States Navy,The Fighting Lady ,,,
1944,17,Documentary (Feature),,United States Army Air Force,Resisting Enemy Interrogation ,,,
1944,17,Documentary (Short Subject),,United States Office of War Information Overseas Motion Picture Bureau,Arturo Toscanini ,,,
1944,17,Documentary (Short Subject),,RKO Radio,New Americans ,,,
1944,17,Documentary (Short Subject),1,United States Marine Corps,With the Marines at Tarawa ,,,
1944,17,Film Editing,,Leroy Stone,Going My Way ,,,
1944,17,Film Editing,,Owen Marks,Janie ,,,
1944,17,Film Editing,,Roland Gross,None but the Lonely Heart ,,,
1944,17,Film Editing,,"Hal C. Kern, James E. Newcom",Since You Went Away ,,,
1944,17,Film Editing,1,Barbara McLean,Wilson ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,"Morris Stoloff, Ernst Toch",Address Unknown ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Max Steiner,The Adventures of Mark Twain ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Dimitri Tiomkin,The Bridge of San Luis Rey ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Arthur Lange,Casanova Brown ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,H. J. Salter,Christmas Holiday ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Miklos Rozsa,Double Indemnity ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,"Walter Scharf, Roy Webb",The Fighting Seabees ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,"Edward Paul, Michel Michelet",The Hairy Ape ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Robert Stolz,It Happened Tomorrow ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Frederic Efrem Rich,Jack London ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Herbert Stothart,Kismet ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,"Hanns Eisler, C. Bakaleinikoff",None but the Lonely Heart ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,David Rose,The Princess and the Pirate ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),1,Max Steiner,Since You Went Away ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Karl Hajos,Summer Storm ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Franke Harling,Three Russian Girls ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Edward Paul,Up in Mabel's Room ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Michel Michelet,Voice in the Wind ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Alfred Newman,Wilson ,,,
1944,17,Music (Music Score of a Dramatic or Comedy Picture),,Miklos Rozsa,Woman of the Town ,,,
1944,17,Music (Scoring of a Musical Picture),,Walter Scharf,Brazil ,,,
1944,17,Music (Scoring of a Musical Picture),1,"Morris Stoloff, Carmen Dragon",Cover Girl ,,,
1944,17,Music (Scoring of a Musical Picture),,C. Bakaleinikoff,Higher and Higher ,,,
1944,17,Music (Scoring of a Musical Picture),,Ray Heindorf,Hollywood Canteen ,,,
1944,17,Music (Scoring of a Musical Picture),,Alfred Newman,Irish Eyes Are Smiling ,,,
1944,17,Music (Scoring of a Musical Picture),,"Werner R. Heymann, Kurt Weill",Knickerbocker Holiday ,,,
1944,17,Music (Scoring of a Musical Picture),,Robert Emmett Dolan,Lady in the Dark ,,,
1944,17,Music (Scoring of a Musical Picture),,Edward Kay,"Lady, Let's Dance ",,,
1944,17,Music (Scoring of a Musical Picture),,Georgie Stoll,Meet Me in St. Louis ,,,
1944,17,Music (Scoring of a Musical Picture),,H. J. Salter,The Merry Monahans ,,,
1944,17,Music (Scoring of a Musical Picture),,"Ferde Grofe, Leo Erdody",Minstrel Man ,,,
1944,17,Music (Scoring of a Musical Picture),,Mahlon Merrick,Sensations of 1945 ,,,
1944,17,Music (Scoring of a Musical Picture),,Charles Previn,Song of the Open Road ,,,
1944,17,Music (Scoring of a Musical Picture),,"Ray Heindorf, Louis Forbes",Up in Arms ,,,
1944,17,Music (Song),,Music by Jimmy McHugh,"""I Couldn't Sleep A Wink Last Night"" from Higher and Higher", Lyrics by Harold Adamson,,
1944,17,Music (Song),,Music by Jule Styne,"""I'll Walk Alone"" from Follow the Boys", Lyrics by Sammy Cahn,,
1944,17,Music (Song),,Music by James V. Monaco,"""I'm Making Believe"" from Sweet and Lowdown", Lyrics by Mack Gordon,,
1944,17,Music (Song),,Music by Jerome Kern,"""Long Ago And Far Away"" from Cover Girl", Lyrics by Ira Gershwin,,
1944,17,Music (Song),,Music by Harold Arlen,"""Now I Know"" from Up in Arms", Lyrics by Ted Koehler,,
1944,17,Music (Song),,Music by Harry Revel,"""Remember Me To Carolina"" from Minstrel Man", Lyrics by Paul Webster,,
1944,17,Music (Song),,Music by Ary Barroso,"""Rio De Janeiro"" from Brazil", Lyrics by Ned Washington,,
1944,17,Music (Song),,Music by Lew Pollack,"""Silver Shadows And Golden Dreams"" from Lady, Let's Dance", Lyrics by Charles Newman,,
1944,17,Music (Song),,Music by M. K. Jerome,"""Sweet Dreams Sweetheart"" from Hollywood Canteen", Lyrics by Ted Koehler,,
1944,17,Music (Song),1,Music by James Van Heusen,"""Swinging On A Star"" from Going My Way", Lyrics by Johnny Burke,,
1944,17,Music (Song),,Music by Walter Kent,"""Too Much In Love"" from Song of the Open Road", Lyrics by Kim Gannon,,
1944,17,Music (Song),,Music and Lyrics by Ralph Blane and Hugh Martin,"""The Trolley Song"" from Meet Me in St. Louis",,,
1944,17,Best Motion Picture,,Paramount,Double Indemnity ,,,
1944,17,Best Motion Picture,,Metro-Goldwyn-Mayer,Gaslight ,,,
1944,17,Best Motion Picture,1,Paramount,Going My Way ,,,
1944,17,Best Motion Picture,,Selznick International Pictures,Since You Went Away ,,,
1944,17,Best Motion Picture,,20th Century-Fox,Wilson ,,,
1944,17,Short Subject (Cartoon),,"George Pal, Producer",And to Think I Saw It on Mulberry Street ,,,
1944,17,Short Subject (Cartoon),,Screen Gems,"Dog, Cat and Canary ",,,
1944,17,Short Subject (Cartoon),,"Walter Lantz, Producer",Fish Fry ,,,
1944,17,Short Subject (Cartoon),,"Walt Disney, Producer",How to Play Football ,,,
1944,17,Short Subject (Cartoon),1,"Frederick C. Quimby, Producer",Mouse Trouble ,,,
1944,17,Short Subject (Cartoon),,"Paul Terry, Producer",My Boy Johnny ,,,
1944,17,Short Subject (Cartoon),,Warner Brothers,Swooner Crooner ,,,
1944,17,Short Subject (One Reel),,"Edmund Reek, Producer",Blue Grass Gentlemen ,,,
1944,17,Short Subject (One Reel),,"Gordon Hollingshead, Producer",Jammin' the Blues ,,,
1944,17,Short Subject (One Reel),,"Pete Smith, Producer",Movie Pests ,,,
1944,17,Short Subject (One Reel),,"Ralph Staub, Producer",Screen Snapshots' 50th Anniversary of Motion Pictures ,,,
1944,17,Short Subject (One Reel),1,"Jerry Fairbanks, Producer",Who's Who in Animal Land ,,,
1944,17,Short Subject (Two Reel),,"Louis Harris, Producer",Bombalera ,,,
1944,17,Short Subject (Two Reel),1,"Gordon Hollingshead, Producer",I Won't Play ,,,
1944,17,Short Subject (Two Reel),,"Jerry Bresler, Producer; Herbert Moulton, Associate Producer",Main Street Today ,,,
1944,17,Sound Recording,,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",Brazil ,,,
1944,17,Sound Recording,,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",Casanova Brown ,,,
1944,17,Sound Recording,,"Columbia Studio Sound Department, John Livadary, Sound Director",Cover Girl ,,,
1944,17,Sound Recording,,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",Double Indemnity ,,,
1944,17,Sound Recording,,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",His Butler's Sister ,,,
1944,17,Sound Recording,,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",Hollywood Canteen ,,,
1944,17,Sound Recording,,"Sound Service, Inc., Jack Whitney, Sound Director",It Happened Tomorrow ,,,
1944,17,Sound Recording,,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Kismet ,,,
1944,17,Sound Recording,,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",Music in Manhattan ,,,
1944,17,Sound Recording,,"RCA Sound, W. M. Dalgleish, Sound Director",Voice in the Wind ,,,
1944,17,Sound Recording,1,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",Wilson ,,,
1944,17,Special Effects,,"Photographic Effects by Paul Detlefsen, John Crouse; Sound Effects by Nathan Levinson",The Adventures of Mark Twain ,,,
1944,17,Special Effects,,"Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville",Days of Glory ,,,
1944,17,Special Effects,,"Photographic Effects by David Allen, Ray Cory, Robert Wright; Sound Effects by Russell Malmgren, Harry Kusnick",Secret Command ,,,
1944,17,Special Effects,,Photographic Effects by John R. Cosgrove,Since You Went Away , Sound Effects by Arthur Johns,,
1944,17,Special Effects,,"Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton",The Story of Dr. Wassell ,,,
1944,17,Special Effects,1,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",Thirty Seconds over Tokyo ,,,
1944,17,Special Effects,,Photographic Effects by Fred Sersen,Wilson , Sound Effects by Roger Heman,,
1944,17,Writing (Original Motion Picture Story),1,Leo McCarey,Going My Way ,,,
1944,17,Writing (Original Motion Picture Story),,"Chandler Sprague, David Boehm",A Guy Named Joe ,,,
1944,17,Writing (Original Motion Picture Story),,John Steinbeck,Lifeboat ,,,
1944,17,Writing (Original Motion Picture Story),,"Alfred Neumann, Joseph Than",None Shall Escape ,,,
1944,17,Writing (Original Motion Picture Story),,"Edward Doherty, Jules Schermer",The Sullivans ,,,
1944,17,Writing (Original Screenplay),,Preston Sturges,Hail the Conquering Hero ,,,
1944,17,Writing (Original Screenplay),,Preston Sturges,The Miracle of Morgan's Creek ,,,
1944,17,Writing (Original Screenplay),,"Richard Connell, Gladys Lehman",Two Girls and a Sailor ,,,
1944,17,Writing (Original Screenplay),1,Lamar Trotti,Wilson ,,,
1944,17,Writing (Original Screenplay),,Jerome Cady,Wing and a Prayer ,,,
1944,17,Writing (Screenplay),,"Billy Wilder, Raymond Chandler",Double Indemnity ,,,
1944,17,Writing (Screenplay),,"John Van Druten, Walter Reisch, John L. Balderston",Gaslight ,,,
1944,17,Writing (Screenplay),1,"Frank Butler, Frank Cavett",Going My Way ,,,
1944,17,Writing (Screenplay),,"Jay Dratler, Samuel Hoffenstein, Betty Reinhardt",Laura ,,,
1944,17,Writing (Screenplay),,"Irving Brecher, Fred F. Finklehoffe",Meet Me in St. Louis ,,,
1944,17,Special Award,1,,Margaret O'Brien,,,
1944,17,Special Award,1,,Bob Hope,,,
1944,17,Irving G. Thalberg Memorial Award,1,,Darryl F. Zanuck,,,
1945,18,Actor,,The Bells of St. Mary's,Bing Crosby,,,
1945,18,Actor,,Anchors Aweigh,Gene Kelly,,,
1945,18,Actor,1,The Lost Weekend,Ray Milland,,,
1945,18,Actor,,The Keys of the Kingdom,Gregory Peck,,,
1945,18,Actor,,A Song to Remember,Cornel Wilde,,,
1945,18,Actor in a Supporting Role,,Spellbound,Michael Chekhov,,,
1945,18,Actor in a Supporting Role,,The Corn Is Green,John Dall,,,
1945,18,Actor in a Supporting Role,1,A Tree Grows in Brooklyn,James Dunn,,,
1945,18,Actor in a Supporting Role,,G. I. Joe,Robert Mitchum,,,
1945,18,Actor in a Supporting Role,,A Medal for Benny,J. Carrol Naish,,,
1945,18,Actress,,The Bells of St. Mary's,Ingrid Bergman,,,
1945,18,Actress,1,Mildred Pierce,Joan Crawford,,,
1945,18,Actress,,The Valley of Decision,Greer Garson,,,
1945,18,Actress,,Love Letters,Jennifer Jones,,,
1945,18,Actress,,Leave Her to Heaven,Gene Tierney,,,
1945,18,Actress in a Supporting Role,,Mildred Pierce,Eve Arden,,,
1945,18,Actress in a Supporting Role,,Mildred Pierce,Ann Blyth,,,
1945,18,Actress in a Supporting Role,,The Picture of Dorian Gray,Angela Lansbury,,,
1945,18,Actress in a Supporting Role,,The Corn Is Green,Joan Lorring,,,
1945,18,Actress in a Supporting Role,1,National Velvet,Anne Revere,,,
1945,18,Art Direction (Black and White),1,Art Direction: Wiard Ihnen,Blood on the Sun , Interior Decoration: A. Roland Fields,,
1945,18,Art Direction (Black and White),,"Art Direction: Albert S. D'Agostino, Jack Okey; Interior Decoration: Darrell Silvera, Claude Carpenter",Experiment Perilous ,,,
1945,18,Art Direction (Black and White),,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes",The Keys of the Kingdom ,,,
1945,18,Art Direction (Black and White),,"Art Direction: Hans Dreier, Roland Anderson; Interior Decoration: Sam Comer, Ray Moyer",Love Letters ,,,
1945,18,Art Direction (Black and White),,"Art Direction: Cedric Gibbons, Hans Peters; Interior Decoration: Edwin B. Willis, Hugh Hunt, John Bonar",The Picture of Dorian Gray ,,,
1945,18,Art Direction (Color),1,"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer",Frenchman's Creek ,,,
1945,18,Art Direction (Color),,"Art Direction: Lyle Wheeler, Maurice Ransford; Interior Decoration: Thomas Little",Leave Her to Heaven ,,,
1945,18,Art Direction (Color),,"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis, Mildred Griffiths",National Velvet ,,,
